variant,drop_season,mode,retrain,n,status,log_loss,brier,accuracy,delta_log_loss,delta_brier,delta_accuracy
family__history,2022,aggregate_existing_predictions,False,2481,ok,0.5162214690109937,0.17338889685309852,0.7315598548972189,4.1259044687214086e-05,4.695946893806813e-05,0.00201531640467556
family__history,2023,aggregate_existing_predictions,False,2408,ok,0.5376497584792047,0.18166284541336936,0.7213455149501661,0.00014501165656244375,1.6143488109326976e-05,0.0008305647840530783
family__history,2024,aggregate_existing_predictions,False,2365,ok,0.5334130637199713,0.179466632853239,0.7268498942917547,-0.00019233941643215235,-0.00011924927425549514,0.0008456659619450191
family__history,2025,aggregate_existing_predictions,False,2331,ok,0.542148593501145,0.18309930883696618,0.7155727155727156,0.0002092556517350186,5.621260339150336e-05,0.0012870012870013214
family__market_context,2022,aggregate_existing_predictions,False,2481,ok,0.5160663098132312,0.17333475190907977,0.7307537283353487,-0.0001139001530753303,-7.185475080689896e-06,0.0012091898428053804
family__market_context,2023,aggregate_existing_predictions,False,2408,ok,0.5374998248099477,0.18164652351452953,0.720514950166113,-4.922012694530409e-06,-1.78410730494738e-07,0.0
family__market_context,2024,aggregate_existing_predictions,False,2365,ok,0.5334742483195386,0.17952593452346674,0.7268498942917547,-0.00013115481686487573,-5.9947604027749124e-05,0.0008456659619450191
family__market_context,2025,aggregate_existing_predictions,False,2331,ok,0.5419219976411385,0.1830352585929613,0.7147147147147147,-1.7340208271487967e-05,-7.837640613378438e-06,0.00042900042900040347
combined,2022,aggregate_existing_predictions,False,2481,ok,0.5162363726867852,0.17344357992468387,0.7311567916162838,5.6162720478702965e-05,0.0001016425405234167,0.0016122531237404703
combined,2023,aggregate_existing_predictions,False,2408,ok,0.537702826321952,0.18169306656817963,0.7221760797342193,0.00019807949930972235,4.636464291959963e-05,0.0016611295681062677
combined,2024,aggregate_existing_predictions,False,2365,ok,0.5334685622067221,0.17948627368970047,0.7264270613107823,-0.00013684092968135886,-9.960843779402428e-05,0.00042283298097256505
combined,2025,aggregate_existing_predictions,False,2331,ok,0.542188069314723,0.18311740766838971,0.7155727155727156,0.0002487314653130124,7.431143481503866e-05,0.0012870012870013214
lof__without_site_temporal,2022,aggregate_existing_predictions,False,2481,ok,0.5161160097470923,0.17338272740511448,0.731962918178154,-6.42002192142721e-05,4.079002095402906e-05,0.00241837968561065
lof__without_site_temporal,2023,aggregate_existing_predictions,False,2408,ok,0.5376467437255401,0.1816638438696533,0.7221760797342193,0.00014199690289784517,1.7141944393284092e-05,0.0016611295681062677
lof__without_site_temporal,2024,aggregate_existing_predictions,False,2365,ok,0.5332835568110418,0.17940632805915496,0.7272727272727273,-0.00032184632536169655,-0.00017955406833952692,0.0012684989429175841
lof__without_site_temporal,2025,aggregate_existing_predictions,False,2331,ok,0.5421242568470774,0.18308879167338957,0.7164307164307164,0.00018491899766748254,4.5695439814891214e-05,0.0021450021450021284
lof__without_history,2022,aggregate_existing_predictions,False,2481,ok,0.5162595523497129,0.17342722063592128,0.7303506650544136,7.934238340634447e-05,8.528325176082596e-05,0.0008061265618702906
lof__without_history,2023,aggregate_existing_predictions,False,2408,ok,0.5375401439303412,0.1816658530205635,0.7209302325581395,3.5397107698953434e-05,1.9151095303482357e-05,0.00041528239202648365
lof__without_history,2024,aggregate_existing_predictions,False,2365,ok,0.5336832450244194,0.17961421329386423,0.7255813953488373,7.784188801596148e-05,2.8331166369743865e-05,-0.00042283298097245403
lof__without_history,2025,aggregate_existing_predictions,False,2331,ok,0.54201054856027,0.18307423969935183,0.7147147147147147,7.121071086002573e-05,3.1143465777150325e-05,0.00042900042900040347
lof__without_market_context,2022,aggregate_existing_predictions,False,2481,ok,0.5163379540495509,0.17344784666204358,0.7303506650544136,0.00015774408324431555,0.00010590927788312055,0.0008061265618702906
lof__without_market_context,2023,aggregate_existing_predictions,False,2408,ok,0.5377019364907678,0.1816903997382029,0.7213455149501661,0.0001971896681255414,4.3697812942861125e-05,0.0008305647840530783
lof__without_market_context,2024,aggregate_existing_predictions,False,2365,ok,0.5335918237277488,0.17954397309910755,0.7255813953488373,-1.357940865465146e-05,-4.190902838693833e-05,-0.00042283298097245403
lof__without_market_context,2025,aggregate_existing_predictions,False,2331,ok,0.5422046631060021,0.18312465717261936,0.7142857142857143,0.0002653252565921749,8.156093904468364e-05,0.0
